Transect,ComName,Freq,TL
1,Blue chromis,3,3
1,Stoplight parrotfish,1,2
1,Stoplight parrotfish,1,6
1,Stoplight parrotfish,1,3
1,Stoplight parrotfish,1,7
1,Yellowhead wrasse,1,4
1,Yellowhead wrasse,1,6
1,Yellowhead wrasse,1,10
1,Bluehead wrasse,1,6
1,Dusky damselfish,1,4
1,White grunt,1,10
1,White grunt,1,13
1,Bluestriped grunt,1,12
1,Bluestriped grunt,1,10
1,Bluestriped grunt,1,8
1,Bluestriped grunt,1,12
1,Spanish hogfish,1,7
1,French grunt,1,4
1,French grunt,1,7
1,French grunt,1,8
1,Blue tang,1,4
2,Slippery dick,2,6
2,Slippery dick,1,7
2,Slippery dick,1,4
2,Princess parrotfish,1,7
3,Slippery dick,3,2
3,Slippery dick,1,4
3,Slippery dick,1,5
3,Slippery dick,1,7
3,Yellowhead wrasse,1,6
3,Yellowhead wrasse,1,4
4,French grunt,4,8
4,Sharpnose pufferfish,1,5
4,Bluehead wrasse,1,11
4,Bluehead wrasse,1,13
4,Spanish hogfish,1,3
4,Spanish hogfish,1,13
4,Dusky damselfish,2,5
4,Yellowhead wrasse,1,14
4,Yellowhead wrasse,4,5
5,Yellowhead wrasse,1,9
4,Yellowhead wrasse,1,3
4,Cocoa damselfish,1,4
5,Puddingwife,1,8
5,Yellowhead wrasse,1,6
5,Yellowhead wrasse,2,12
5,Yellowhead wrasse,1,3
5,Stoplight parrotfish,1,10
5,Blue tang,1,8
5,Blue chromis,5,2
5,Dusky damselfish,1,5
5,Striped parrotfish,10,2
5,Striped parrotfish,1,10
5,Bluehead wrasse,1,2
5,Rainbow wrasse,1,2
5,Spanish hogfish,1,12
6,Yellowhead wrasse,1,8
6,Yellowhead wrasse,1,3
6,Bluestriped grunt,1,20
6,Queen angelfish,1,16
6,Dusky damselfish,1,5
6,Graysby,1,14
6,Lionfish,1,20
7,Blue chromis,2,5
7,Nassau grouper,1,20
7,Dusky damselfish,1,6
7,Striped parrotfish,12,10
7,Bluehead wrasse,1,11
7,Yellowhead wrasse,1,8
7,Yellowhead wrasse,2,9
7,Yellowhead wrasse,1,11
7,Yellowhead wrasse,1,13
