TransectNum,Date,Site,Dive,Observer,Time,Depthft,TempC,Transecttype,Weather,Visft,Current
1,7/4/13,25,1,Kate,10:45,6,30,Reef,Windy/ sunny,60,Low
2,7/4/13,25,1,Kate,10:56,6,30,Sand,Windy/ sunny,60,Low
3,7/4/13,25,1,Kate,11:02,6,30,Sand,Windy/ sunny,60,Low
4,7/4/13,25,1,Jocelyn,10:43,6,30,Reef,Windy/ sunny,60,Low
5,7/4/13,25,1,Jocelyn,10:49,6,30,Reef,Windy/ sunny,60,Low
6,7/4/13,25,2,Jocelyn,12:30,6,29,Reef,Windy,60,Low
7,7/4/13,25,2,Jocelyn,12:37,6,29,Reef,Windy,60,Low
8,7/4/13,25,2,Luis,12:39,6,29,Sand,Windy,60,Low
9,7/4/13,25,2,Holly,12:35,6,29,Sand,Windy,60,Low
10,7/4/13,25,2,Kate,12:35,6,29,Reef,Windy,60,Low
11,7/4/13,30,3,Kate,13:58,6.5,30,Reef,Windy,60,Low
12,7/4/13,30,3,Kate,14:08,6.5,30,Sand,Windy,60,Low
13,7/4/13,30,3,Kate,14:14,6.5,30,Sand,Windy,60,Low
14,7/4/13,30,3,Jocelyn,13:55,6.5,30,Reef,Windy,60,Low
15,7/4/13,30,3,Jocelyn,14:02,6.5,30,Reef,Windy,60,Low
16,7/4/13,30,4,Kate,13:16,6,29,Reef,Windy/sunny,60,Low
17,7/4/13,30,4,Jocelyn,15:11,6,29,Reef,Windy/sunny,60,Low
18,7/4/13,30,4,Jocelyn,15:17,6,29,Reef,Windy/sunny,60,Low
19,7/4/13,30,4,Holly,15:20,6,29,Sand,Windy/sunny,60,Low
20,7/4/13,30,4,Severin,15:15,6,29,Sand,Windy/sunny,60,Low
21,7/5/13,35,1,Jocelyn,10:48,9.5,29,Reef,Windy/ cloudy,60,Low
22,7/5/13,35,1,Jocelyn,10:55,9.5,29,Reef,Windy/ cloudy,60,Low
23,7/5/13,35,1,Kate,10:54,9.5,29,Reef,Windy/ cloudy,60,Low
24,7/5/13,35,1,Holly,10:47,9.5,29,Sand,Windy/ cloudy,60,Low
25,7/5/13,35,1,Holly,10:54,9.5,29,Sand,Windy/ cloudy,60,Low
26,7/5/13,35,2,Jocelyn,12:29,8,29,Reef,Windy/ sunny,45,Low
27,7/5/13,35,2,Jocelyn,12:33,8,29,Reef,Windy/ sunny,45,Low
28,7/5/13,35,2,Kate,12:32,8,29,Reef,Windy/ sunny,45,Low
29,7/5/13,35,2,Holly,12:32,8,29,Sand,Windy/ sunny,45,Low
30,7/5/13,35,2,Holly,12:38,8,29,Sand,Windy/ sunny,45,Low
31,7/5/13,40,4,Kate,15:33,7,30,Reef,Windy/ sunny,30,Low
32,7/5/13,40,4,Kate,15:43,7,30,Sand,Windy/ sunny,30,Low
33,7/5/13,40,4,Jocelyn,15:31,7,30,Reef,Windy/ sunny,30,Low
34,7/5/13,40,4,Jocelyn,15:42,7,30,Reef,Windy/ sunny,30,Low
35,7/5/13,40,4,Holly,15:28,7,30,Sand,Windy/ sunny,30,Low
36,7/6/13,40,4,Holly,15:36,7,30,Sand,Windy/ sunny,30,Low
37,7/5/13,40,3,Jocelyn,14:25,7.5,30,Reef,Windy/ sunny,30,Low
38,7/5/13,40,3,Jocelyn,14:33,7.5,30,Reef,Windy/ sunny,30,Low
39,7/5/13,40,3,Kate,14:30,7.5,30,Reef,Windy/ sunny,30,Low
40,7/5/13,40,3,Severin,14:30,7.5,30,Sand,Windy/ sunny,30,Low
41,8/8/13,25,3,Severin,14:35,7.5,30,Sand,Windy/ sunny,30,Low
42,8/8/13,25,1,Jocelyn,10:40,9,29,Reef,Windy/ sunny,50,None
43,8/8/13,25,1,Jocelyn,10:46,9,29,Reef,Windy/ sunny,50,None
44,8/8/13,25,1,Kate,10:45,9,29,Reef,Windy/ sunny,50,None
45,8/8/13,25,1,Kate,10:58,9,29,Sand,Windy/ sunny,50,None
46,8/8/13,25,1,Kate,11:04,9,29,Sand,Windy/ sunny,50,None
47,8/8/13,25,2,Jocelyn,12:25,9.5,29,Reef,Windy/ sunny,45,None
48,8/8/13,25,2,Jocelyn,12:32,9.5,29,Reef,Windy/ sunny,45,None
49,8/8/13,25,2,Kate,12:27,9.5,29,Reef,Windy/ sunny,45,None
50,8/8/13,25,2,Kate,12:37,9.5,29,Sand,Windy/ sunny,45,None
51,8/8/13,25,2,Kate,12:43,9.5,29,Sand,Windy/ sunny,45,None
52,8/8/13,30,3,Jocelyn,14:56,8,29,Reef,Windy/ sunny,45,None
53,8/8/13,30,3,Jocelyn,15:00,8,29,Reef,Windy/ sunny,45,None
54,8/8/13,30,3,Kate,14:50,8,29,Reef,Windy/ sunny,45,None
55,8/8/13,30,3,Kate,15:04,8,29,Sand,Windy/ sunny,45,None
56,8/8/13,30,3,Kate,15:10,8,29,Sand,Windy/ sunny,45,None
57,8/15/13,30,1,Holly,10:28,8,29,Reef,Sunny,80,None
58,8/15/13,30,1,Kate,10:26,8,29,Reef,Sunny,80,None
59,8/15/13,30,1,Luis,10:39,8,29,Reef,Sunny,80,None
60,8/15/13,30,1,Luis,10:23,8,29,Sand,Sunny,80,None
61,8/15/13,30,1,Severin,10:24,8,29,Sand,Sunny,80,None
62,8/15/13,35,2,Holly,11:18,8,29,Reef,Sunny,50,None
63,8/15/13,35,2,Kate,11:19,8,29,Reef,Sunny,50,None
64,8/15/13,35,2,Kate,11:25,8,29,Reef,Sunny,50,None
65,8/15/13,35,2,Luis ,10:23,8,29,Sand,Sunny,50,None
66,8/15/13,35,2,Severin,11:10,8,29,Sand,Sunny,50,None
67,8/15/13,35,3,Holly,12:31,8,29,Reef,Sunny,50,None
68,8/15/13,35,3,Kate,12:27,8,29,Reef,Sunny,50,None
69,8/15/13,35,3,Luis,12:33,8,29,Reef,Sunny,50,None
70,8/15/13,35,3,Luis,12:26,8,29,Sand,Sunny,50,None
71,8/15/13,35,3,Severin,12:15,9,29,Sand,Sunny,50,None
72,8/15/13,40,4,Holly,14:05,9,29,Reef,Sunny,50,None
73,8/15/13,40,4,Kate,14:04,9,29,Reef,Sunny,50,None
74,8/15/13,40,4,Luis,14:09,9,29,Reef,Sunny,50,None
75,8/15/13,40,4,Luis,14:02,9,29,Sand,Sunny,50,None
76,8/15/13,40,4,Severin,14:05,9,29,Sand,Sunny,50,None
77,8/15/13,40,5,Holly,15:29,9,29,Reef,Sunny,50,None
78,8/15/13,40,5,Kate,15:28,9,29,Reef,Sunny,50,None
79,8/15/13,40,5,Luis,15:28,9,29,Sand,Sunny,50,None
80,8/15/13,40,5,Luis,15:38,9,29,Sand,Sunny,50,None
