DISTINCT SPP LIST,Month,119 2011   ,E3 2011   ,101 2011   ,100 2011   ,108 2011   ,106 2011   ,94 2011   ,102 2011   ,93 2011   ,84 2011   ,55 2011   ,104 2011   ,77 2011   ,89 2011   ,78 2011   ,75 2011   ,76 2011   ,79 2011   ,91 2011   ,73 2011   ,90 2011   ,86 2011   ,f5 2011   ,f4 2011   ,72 2011   ,99 2011   ,71 2011   ,70 2011   ,new2 2011   ,107 2011   ,74 2011   ,112 2011   ,106 2012   ,94 2012   ,104 2012   ,70 2012   ,71 2012   ,119 2012   ,E3 2012   ,f4 2012   ,f5 2012   ,107 2012   ,New2 2012   ,99 2012   ,86 2012   ,89 2012   ,99 2013   ,89 2013   ,F4 2013   ,New2 2013   ,F5 2013   ,119 2013   ,E3 2013   ,108 2013    ,102 2013   ,107 2013   ,90 2013   ,84 2013   ,94 2013   ,78 2013   ,73 2013   ,71 2013   ,71 2014   ,73 2014   ,78 2014   ,84 2014   ,89 2014   ,90 2014   ,94 2014   ,99 2014   ,102 2014   ,107 2014   ,108 2014   ,119 2014   ,E3 2014   ,F4 2014   ,F5 2014   ,New2 2014   ,108 2015   ,73 2015   ,78 2015   ,89 2015   ,90 2015   ,94 2015   ,102 2015   ,71 2015   ,107 2015   ,E3 2015   ,119 2015   ,99 2015   ,F5 2015   ,F4 2015   ,new2 2015   ,84 2015   
almaco jack,December,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,10,1,4,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,5,,
atlantic spadefish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,8,,,,5,,,1,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,
balloonfish,December,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandtail pufferfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar jack,December,,23,4,,,,,20,31,,11,2,,,,,16,,,201,2,16,,,21,,64,42,,,,34,10,1,,,27,,4,,11,,10,,,,,21,,,,,,,,1,5,,,25,3,14,12,100,20,,,60,,,,,,10,,,,8,2,30,6,,21,,,,,11,18,,,12,,39
barred cardinalfish,December,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaugregory damselfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicolor damselfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigeye,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black grouper,December,,,3,,1,4,3,,,3,3,1,,1,2,3,3,2,2,1,,1,,1,1,,,1,,,4,1,,1,1,1,6,21,3,8,4,5,2,,,1,2,1,1,1,,2,1,,,,,4,,,,,1,,,1,1,,2,,,,,,,,1,,3,2,,2,,,1,,2,1,,1,2,1,,3
