DISTINCT SPP LIST,Month,71 2011   ,73 2011   ,78 2011   ,84 2011   ,89 2011   ,90 2011   ,94 2011   ,99 2011   ,102 2011   ,107 2011   ,108 2011   ,119 2011   ,F4 2011   ,74 2011   ,112 2011   ,71 2012   ,73 2012   ,78 2012   ,86 2012   ,84 2012   ,89 2012   ,94 2012   ,99 2012   ,102 2012   ,107 2012   ,108 2012   ,119 2012   ,F4 2012   ,74 2012   ,112 2012   ,71 2013   ,73 2013   ,78 2013   ,84 2013   ,86 2013   ,90 2013   ,94 2013   ,99 2013   ,102 2013   ,107 2013   ,108 2013   ,E3 2013   ,F4 2013   ,F5 2013   ,New2 2013   ,71 2014   ,73 2014   ,78 2014   ,84 2014   ,89 2014   ,90 2014   ,94 2014   ,99 2014   ,102 2014   ,107 2014   ,108 2014   ,119 2014   ,E3 2014   ,F4 2014   ,F5 2014   ,New2 2014   ,73 2015   ,78 2015   ,89 2015   ,90 2015   ,94 2015   ,102 2015   ,108 2015   ,107 2015   ,E3 2015   ,119 2015   ,99 2015   ,F5 2015   ,F4 2015   ,new2 2015   ,84 2015   
almaco jack,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic spadefish,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,12,,,,,,,2,8,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
balloonfish,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandtail pufferfish,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar jack,September,4,5,2,,,2,4,1,6,5,,,,20,17,,3,7,2,9,3,,,,,,,,16,,,3,12,,2,13,,7,2,4,,2,2,2,,5,10,13,,8,8,5,,4,4,8,5,,2,3,,1,2,2,16,,,,,6,7,,1,1,1,
barred cardinalfish,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaugregory damselfish,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicolor damselfish,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigeye,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black grouper,September,2,2,,3,2,3,1,1,1,,,,2,2,2,1,1,,,1,,,,,,,,,1,2,1,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,,,,3
